"Datum";"Standort";"Disponent";"Fahrzeuge";"Stopps";"Unverplante Stopps";"Kosten Fuhrpark";"Stoppschnitt";"Stoppkosten"
"03.11.2025";"Aschaffenburg";"Thomas";"14";"292";"26,7";"5320€";"20,9";"18,22€"
"03.11.2025";"Renningen";"Sarah";"17";"274";"20,0";"6460€";"16,1";"23,58€"
"03.11.2025";"Hamburg";"Michael";"10";"349";"25,8";"3800€";"34,9";"10,89€"
"03.11.2025";"Hannover";"Lisa";"9";"220";"24,2";"3420€";"24,4";"15,55€"
"03.11.2025";"Langenfeld";"Micha";"16";"248";"21,0";"6080€";"15,5";"24,52€"
"03.11.2025";"Föhren";"Frank";"10";"307";"23,9";"3800€";"30,7";"12,38€"
"03.11.2025";"Kassel";"Anna";"10";"334";"16,0";"3800€";"33,4";"11,38€"
"03.11.2025";"Stockstadt";"Peter";"9";"208";"18,5";"3420€";"23,1";"16,44€"
"03.11.2025";"Eutingen";"Julia";"14";"207";"28,6";"5320€";"14,8";"25,7€"
"03.11.2025";"Berlin";"Danny";"15";"331";"22,8";"5700€";"22,1";"17,22€"
"03.11.2025";"Melle";"Klaus";"13";"345";"29,1";"4940€";"26,5";"14,32€"
"03.11.2025";"Delmenhorst";"Maria";"15";"239";"26,2";"5700€";"15,9";"23,85€"
"03.11.2025";"Güstrow";"Stefan";"15";"323";"19,4";"5700€";"21,5";"17,65€"
"04.11.2025";"Aschaffenburg";"Thomas";"16";"270";"20,9";"6080€";"16,9";"22,52€"
"04.11.2025";"Renningen";"Sarah";"18";"280";"26,9";"6840€";"15,6";"24,43€"
"04.11.2025";"Hamburg";"Michael";"17";"240";"27,8";"6460€";"14,1";"26,92€"
"04.11.2025";"Hannover";"Lisa";"8";"247";"25,0";"3040€";"30,9";"12,31€"
"04.11.2025";"Langenfeld";"Micha";"15";"234";"16,8";"5700€";"15,6";"24,36€"
"04.11.2025";"Föhren";"Frank";"8";"204";"26,6";"3040€";"25,5";"14,9€"
"04.11.2025";"Kassel";"Anna";"16";"214";"21,6";"6080€";"13,4";"28,41€"
"04.11.2025";"Stockstadt";"Peter";"14";"251";"25,4";"5320€";"17,9";"21,2€"
"04.11.2025";"Eutingen";"Julia";"14";"342";"18,4";"5320€";"24,4";"15,56€"
"04.11.2025";"Berlin";"Danny";"18";"285";"24,4";"6840€";"15,8";"24€"
"04.11.2025";"Melle";"Klaus";"12";"333";"18,3";"4560€";"27,8";"13,69€"
"04.11.2025";"Delmenhorst";"Maria";"18";"327";"28,4";"6840€";"18,2";"20,92€"
"04.11.2025";"Güstrow";"Stefan";"8";"328";"21,4";"3040€";"41,0";"9,27€"
"05.11.2025";"Aschaffenburg";"Thomas";"16";"202";"22,7";"6080€";"12,6";"30,1€"
"05.11.2025";"Renningen";"Sarah";"12";"250";"18,7";"4560€";"20,8";"18,24€"
"05.11.2025";"Hamburg";"Michael";"15";"312";"18,8";"5700€";"20,8";"18,27€"
"05.11.2025";"Hannover";"Lisa";"14";"329";"17,2";"5320€";"23,5";"16,17€"
"05.11.2025";"Langenfeld";"Micha";"18";"312";"21,2";"6840€";"17,3";"21,92€"
"05.11.2025";"Föhren";"Frank";"8";"328";"17,2";"3040€";"41,0";"9,27€"
"05.11.2025";"Kassel";"Anna";"13";"267";"20,5";"4940€";"20,5";"18,5€"
"05.11.2025";"Stockstadt";"Peter";"13";"223";"29,8";"4940€";"17,2";"22,15€"
"05.11.2025";"Eutingen";"Julia";"8";"323";"25,4";"3040€";"40,4";"9,41€"
"05.11.2025";"Berlin";"Danny";"18";"346";"27,1";"6840€";"19,2";"19,77€"
"05.11.2025";"Melle";"Klaus";"14";"251";"21,0";"5320€";"17,9";"21,2€"
"05.11.2025";"Delmenhorst";"Maria";"15";"328";"26,0";"5700€";"21,9";"17,38€"
"05.11.2025";"Güstrow";"Stefan";"17";"298";"17,6";"6460€";"17,5";"21,68€"
"06.11.2025";"Aschaffenburg";"Thomas";"11";"259";"29,9";"4180€";"23,5";"16,14€"
"06.11.2025";"Renningen";"Sarah";"12";"236";"17,8";"4560€";"19,7";"19,32€"
"06.11.2025";"Hamburg";"Michael";"10";"247";"27,8";"3800€";"24,7";"15,38€"
"06.11.2025";"Hannover";"Lisa";"8";"315";"17,4";"3040€";"39,4";"9,65€"
"06.11.2025";"Langenfeld";"Micha";"11";"311";"25,0";"4180€";"28,3";"13,44€"
"06.11.2025";"Föhren";"Frank";"9";"253";"29,9";"3420€";"28,1";"13,52€"
"06.11.2025";"Kassel";"Anna";"11";"232";"17,7";"4180€";"21,1";"18,02€"
"06.11.2025";"Stockstadt";"Peter";"15";"334";"19,6";"5700€";"22,3";"17,07€"
"06.11.2025";"Eutingen";"Julia";"18";"314";"18,8";"6840€";"17,4";"21,78€"
"06.11.2025";"Berlin";"Danny";"13";"308";"28,6";"4940€";"23,7";"16,04€"
"06.11.2025";"Melle";"Klaus";"12";"229";"25,0";"4560€";"19,1";"19,91€"
"06.11.2025";"Delmenhorst";"Maria";"10";"203";"24,7";"3800€";"20,3";"18,72€"
"06.11.2025";"Güstrow";"Stefan";"12";"205";"15,2";"4560€";"17,1";"22,24€"
"07.11.2025";"Aschaffenburg";"Thomas";"8";"245";"29,5";"3040€";"30,6";"12,41€"
"07.11.2025";"Renningen";"Sarah";"12";"266";"23,4";"4560€";"22,2";"17,14€"
"07.11.2025";"Hamburg";"Michael";"17";"266";"16,5";"6460€";"15,6";"24,29€"
"07.11.2025";"Hannover";"Lisa";"13";"326";"28,2";"4940€";"25,1";"15,15€"
"07.11.2025";"Langenfeld";"Micha";"8";"336";"20,4";"3040€";"42,0";"9,05€"
"07.11.2025";"Föhren";"Frank";"14";"225";"28,0";"5320€";"16,1";"23,64€"
"07.11.2025";"Kassel";"Anna";"17";"334";"27,0";"6460€";"19,6";"19,34€"
"07.11.2025";"Stockstadt";"Peter";"10";"342";"16,4";"3800€";"34,2";"11,11€"
"07.11.2025";"Eutingen";"Julia";"13";"250";"23,1";"4940€";"19,2";"19,76€"
"07.11.2025";"Berlin";"Danny";"17";"257";"15,6";"6460€";"15,1";"25,14€"
"07.11.2025";"Melle";"Klaus";"13";"300";"26,5";"4940€";"23,1";"16,47€"
"07.11.2025";"Delmenhorst";"Maria";"12";"302";"15,8";"4560€";"25,2";"15,1€"
"07.11.2025";"Güstrow";"Stefan";"10";"254";"17,0";"3800€";"25,4";"14,96€"
"10.11.2025";"Aschaffenburg";"Thomas";"17";"346";"19,1";"6460€";"20,4";"18,67€"
"10.11.2025";"Renningen";"Sarah";"14";"289";"29,4";"5320€";"20,6";"18,41€"
"10.11.2025";"Hamburg";"Michael";"16";"339";"17,6";"6080€";"21,2";"17,94€"
"10.11.2025";"Hannover";"Lisa";"9";"295";"25,7";"3420€";"32,8";"11,59€"
"10.11.2025";"Langenfeld";"Micha";"12";"328";"26,1";"4560€";"27,3";"13,9€"
"10.11.2025";"Föhren";"Frank";"13";"292";"18,7";"4940€";"22,5";"16,92€"
"10.11.2025";"Kassel";"Anna";"12";"285";"16,7";"4560€";"23,8";"16€"
"10.11.2025";"Stockstadt";"Peter";"8";"293";"25,6";"3040€";"36,6";"10,38€"
"10.11.2025";"Eutingen";"Julia";"17";"284";"17,6";"6460€";"16,7";"22,75€"
"10.11.2025";"Berlin";"Danny";"14";"209";"28,3";"5320€";"14,9";"25,45€"
"10.11.2025";"Melle";"Klaus";"17";"346";"27,8";"6460€";"20,4";"18,67€"
"10.11.2025";"Delmenhorst";"Maria";"11";"215";"24,6";"4180€";"19,5";"19,44€"
"10.11.2025";"Güstrow";"Stefan";"18";"283";"20,8";"6840€";"15,7";"24,17€"
"11.11.2025";"Aschaffenburg";"Thomas";"8";"300";"27,3";"3040€";"37,5";"10,13€"
"11.11.2025";"Renningen";"Sarah";"18";"243";"18,2";"6840€";"13,5";"28,15€"
"11.11.2025";"Hamburg";"Michael";"10";"234";"24,8";"3800€";"23,4";"16,24€"
"11.11.2025";"Hannover";"Lisa";"17";"289";"18,9";"6460€";"17,0";"22,35€"
"11.11.2025";"Langenfeld";"Micha";"17";"313";"28,2";"6460€";"18,4";"20,64€"
"11.11.2025";"Föhren";"Frank";"12";"337";"23,5";"4560€";"28,1";"13,53€"
"11.11.2025";"Kassel";"Anna";"10";"235";"26,6";"3800€";"23,5";"16,17€"
"11.11.2025";"Stockstadt";"Peter";"12";"211";"26,3";"4560€";"17,6";"21,61€"
"11.11.2025";"Eutingen";"Julia";"16";"229";"22,6";"6080€";"14,3";"26,55€"
"11.11.2025";"Berlin";"Danny";"13";"340";"20,8";"4940€";"26,2";"14,53€"
"11.11.2025";"Melle";"Klaus";"16";"346";"19,8";"6080€";"21,6";"17,57€"
"11.11.2025";"Delmenhorst";"Maria";"11";"282";"16,2";"4180€";"25,6";"14,82€"
"11.11.2025";"Güstrow";"Stefan";"16";"322";"29,2";"6080€";"20,1";"18,88€"
"12.11.2025";"Aschaffenburg";"Thomas";"14";"308";"29,6";"5320€";"22,0";"17,27€"
"12.11.2025";"Renningen";"Sarah";"17";"332";"23,2";"6460€";"19,5";"19,46€"
"12.11.2025";"Hamburg";"Michael";"16";"273";"28,0";"6080€";"17,1";"22,27€"
"12.11.2025";"Hannover";"Lisa";"15";"336";"25,6";"5700€";"22,4";"16,96€"
"12.11.2025";"Langenfeld";"Micha";"12";"282";"27,9";"4560€";"23,5";"16,17€"
"12.11.2025";"Föhren";"Frank";"8";"270";"26,3";"3040€";"33,8";"11,26€"
"12.11.2025";"Kassel";"Anna";"10";"307";"21,4";"3800€";"30,7";"12,38€"
